event_name,event_date,r_fighter,b_fighter,winner,weight_class,method,r_fights_prior,b_fights_prior,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,SLpM_total_diff,SApM_total_diff,wins_total_diff,losses_total_diff,reach_diff,height_diff,age_diff,weight_diff
UFC - Ultimate Ultimate '95,1995-12-16,Dan Severn,David Abbott,Red,Open Weight,Decision - Unanimous,7,3,0.055677655677655646,0.036363636363636376,-0.11538461538461542,0.0,1.2712198233010072,1.2855695822625726,-1.2627225150531787,0.22149275008909985,3,1,,5.0800000000000125,,-6.799999999999997
UFC - Ultimate Ultimate '95,1995-12-16,Dan Severn,Oleg Taktarov,Red,Ultimate Ultimate '95 Tournament Title,Decision - Unanimous,8,5,0.49333333333333335,0.6153846153846154,-0.09756097560975607,0.5714285714285714,-2.8454932689460377,2.5174825174825175,1.43805380287465,-0.9332589234869366,2,1,,5.0800000000000125,9.0,18.15000000000001
UFC - Ultimate Ultimate '95,1995-12-16,Oleg Taktarov,Dave Beneteau,Red,Open Weight,Submission,6,4,-0.25668449197860965,-0.75,-0.06832298136645965,-0.25,4.198250728862974,-6.905370843989769,-3.7233974335075644,1.6872637253659228,2,0,,-5.0800000000000125,,-18.15000000000001
UFC - Ultimate Ultimate '95,1995-12-16,Oleg Taktarov,Marco Ruas,Red,Open Weight,Decision - Unanimous,7,3,-0.3004975124378109,-0.3333333333333333,0.08360270349691445,-0.11111111111111116,2.452088656371817,-0.5151688609044075,-0.9028598107529908,1.3594509981996272,2,2,,-2.539999999999992,-7.0,0.0
UFC - Ultimate Ultimate '95,1995-12-16,Dan Severn,Paul Varelans,Red,Open Weight,Submission,9,5,0.14882315230332444,0.17142857142857137,0.09470002690341683,0.19999999999999996,-1.274805867126834,0.7290767903364965,0.6075639919470808,-2.6759778544722463,4,0,,-15.23999999999998,,-22.680000000000007
UFC - Ultimate Ultimate '95,1995-12-16,David Abbott,Steve Jennum,Red,Open Weight,Submission,4,2,0.11554621848739494,-0.25,-0.4948717948717948,-0.1428571428571428,-2.011333705802538,-6.034001117407614,-1.9682336978210555,1.151727991060739,0,2,,5.079999999999984,,22.680000000000007
UFC - Ultimate Ultimate '95,1995-12-16,Joe Charles,Scott Bessac,Red,Open Weight,Submission,2,1,0.4451612903225806,0.5,-0.02083333333333337,-0.5,-58.06451612903225,8.035714285714286,8.778801843317972,2.021889400921659,0,1,,-7.6200000000000045,,6.800000000000011
UFC - Ultimate Ultimate '95,1995-12-16,Mark Hall,Trent Jenkins,Red,Open Weight,Submission,2,0,0.42857142857142855,0.0,0.25,0.33333333333333337,0.0,0.0,1.111111111111111,2.222222222222222,1,1,,-5.0800000000000125,,2.2700000000000102
UFC - Ultimate Ultimate '95,1995-12-16,Marco Ruas,Keith Hackney,Red,Open Weight,Submission,4,3,-0.16406926406926403,0.25,0.08946877912395146,0.08333333333333337,0.12837878644085365,0.318358684117439,-3.384161439774992,-0.6613578127291707,1,0,,5.079999999999984,,4.530000000000001
UFC 8: David vs Goliath,1996-02-16,Ken Shamrock,Kimo Leopoldo,Red,UFC Superfight Championship,Submission,3,1,0.11111111111111116,-0.5,-0.5238095238095238,0.0,3.873744619799139,-0.6317893010862883,-0.08054929288788681,0.08792785406845666,3,-1,,-5.0800000000000125,4.0,-13.600000000000009
